Symbol,Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m,momentum_score,signal
DPZ,2024-04-01,486.3288178938398,489.325104806472,483.4602755809767,485.21875,626900,0.1053279935308377,0.2051599877722822,0.3001673736789925,0.5281613697242427,0.35287955690093503,avoid
LDOS,2024-04-01,129.06569182803702,129.17422561858442,128.1086252355695,128.68089294433594,444500,0.0230574057416055,0.2118595160914382,0.4245802709060886,0.4471659884638306,0.350918120449807,avoid
SHW,2024-04-01,342.8269779295956,342.8566638514736,334.28697541071017,334.6333312988281,992200,0.0184621880553108,0.0833518580542027,0.3258339977457134,0.5853310757068018,0.3503992200228064,avoid
MSFT,2024-04-01,419.96679317686176,423.869777356087,418.2530364952505,420.5809631347656,16316000,0.0264238509686105,0.1334339653428162,0.358941548619424,0.5259867688582855,0.34740635029456574,avoid
FITB,2024-04-01,35.63626312578793,35.694096198937906,35.16393885829123,35.37600326538086,3809400,0.079207957663091,0.0649426664726706,0.4955488843787217,0.4400765568071307,0.34560461709731205,avoid
CTAS,2024-04-01,169.78834089793034,170.0111999127812,167.31944993713864,168.52293395996094,1866400,0.0826109029021937,0.1321765660571705,0.409943362612686,0.4667474036173324,0.3443783737323923,avoid
STLD,2024-04-01,146.7178493796146,149.0220052873427,145.78240300939115,146.97386169433594,873800,0.118932928699279,0.2574370387496174,0.4182522054914563,0.3765437131576248,0.3394738475303382,avoid
DFS,2024-04-01,128.01528939027736,129.24252393653774,126.43952442752835,127.02368927001952,1282343,0.071913925227766,0.1558322350117722,0.5193790250530892,0.362839972286852,0.3393075359557986,avoid
DIS,2024-04-01,120.96346228743526,121.30041180322182,119.6949624745206,120.43822479248048,8419700,0.0891736638215316,0.3443584195240812,0.5216033142370793,0.2586566295694648,0.3377326963858791,avoid
WRB,2024-04-01,57.45034844543228,57.49589088192035,56.83225124785744,56.92333984375,1722750,0.0479098807075706,0.2440395015008893,0.3581713664091663,0.441622364629372,0.3376992441454336,avoid
CDNS,2024-04-01,310.4599914550781,313.9700012207031,308.6499938964844,312.1300048828125,901100,0.0254615936516058,0.1423291466782703,0.3338319397024489,0.5151941984602548,0.3372392499956512,avoid
STX,2024-04-01,90.49747170800484,91.65358035071682,89.09847462731864,89.1664810180664,2672700,-0.0056080327803436,0.0661157612826852,0.4204088344368317,0.4946920735041062,0.33666182871119466,avoid
MHK,2024-04-01,130.80999755859375,130.80999755859375,128.4499969482422,128.47000122070312,425500,0.0830382586920392,0.2250405059218925,0.503980379004606,0.3271693922572685,0.3353737976578716,avoid
SYF,2024-04-01,41.9161547040511,41.95517086924728,40.69681116456757,40.72607421875,4081800,0.0108958174040869,0.095181000729567,0.3733794981601179,0.5022362025678915,0.33303411236151403,avoid
CAH,2024-04-01,109.73857554061392,110.25927518167246,108.52035170031672,110.09225463867188,1379500,0.00518922410184,0.1281039543411444,0.2959320878265827,0.5435797778166911,0.3323512507530641,avoid
MAR,2024-04-01,250.3521822650333,251.3298022217232,247.59703586242983,248.1895446777344,1178500,0.0058431644425118,0.1240143663428481,0.2653648275978495,0.5661957428124094,0.3314749351171394,avoid
FI,2024-04-01,159.74000549316406,159.9199981689453,158.41000366210938,158.57000732421875,1866000,0.0623032276115074,0.1888589107755556,0.3964773497358707,0.4178291534018614,0.33007697119776763,avoid
BRO,2024-04-01,86.69746897764493,86.69746897764493,85.69456014850155,85.71441650390625,952000,0.0250563428073311,0.2191895748437238,0.2223569787303165,0.5406703492240157,0.32931878255817915,avoid
DAL,2024-04-01,47.840031441585296,48.530506874743175,47.55397674226742,47.5638427734375,13772800,0.1407617389280409,0.1896321307962429,0.3117736026279709,0.4577382414488977,0.328629977420003,avoid
TGT,2024-04-01,171.46605382394435,174.42980314276767,170.40140416320443,170.55487060546875,3917400,0.1628302835458162,0.2567498328360109,0.6519949891014734,0.1623567460203978,0.32817419006038495,avoid
FIS,2024-04-01,72.10344749017973,72.43545533711158,70.96096501832098,71.0390853881836,3486700,0.0569010685657336,0.2027466262652515,0.3217068367538784,0.4608090710643477,0.32707511156152624,avoid
IT,2024-04-01,475.8800048828125,478.3599853515625,474.5499877929688,477.4400024414063,255600,0.0255176667778838,0.0556526279416111,0.3782113732900816,0.4996859668597262,0.32702009099702556,avoid
WAB,2024-04-01,144.71575505908126,144.9742035136566,143.85098410332614,143.99014282226562,585000,0.02526722409949,0.1426689692305243,0.3531861012365258,0.4671178569049292,0.3238634893889833,avoid
NVR,2024-04-01,8097.97998046875,8211.400390625,7978.27978515625,8026.27001953125,14400,0.0525469184007574,0.1496137857971813,0.3240475167888164,0.4770490327269434,0.3232113171269343,avoid
NWS,2024-04-01,26.82418584664222,26.853980144579523,26.33755701236213,26.496456146240234,604900,-0.0433121112100962,0.0370910928237757,0.2886281906751782,0.5768988506000248,0.32043500488630894,avoid
APH,2024-04-01,56.801047378013806,57.37979091512729,56.405323172485126,56.41521835327149,4594600,0.0461371247926938,0.1492359776669678,0.3622006345982804,0.4423051547529892,0.32004316029334273,avoid
NCLH,2024-04-01,20.96999931335449,21.15999984741211,20.71999931335449,20.940000534057617,7192800,0.0799381739659395,0.0229604903013602,0.2361275014105259,0.5911854693657486,0.3198983536263232,avoid
PTC,2024-04-01,189.08999633789065,190.47999572753903,187.6600036621093,188.1199951171875,501800,0.0279219756501365,0.0693496877855006,0.3322946117778187,0.5084595982537368,0.31973435795695415,avoid
AMP,2024-04-01,430.744323804192,431.1969122699084,426.7103021906752,427.8319396972656,434300,0.0674343446495215,0.1447859037916465,0.3262297772667222,0.4650572199270899,0.3195924363741341,avoid
UHS,2024-04-01,179.08731526228073,179.08731526228073,170.39162571145664,174.3216094970703,1348000,0.0487851383943784,0.1489845759660399,0.3855345967631316,0.4197127267718028,0.31822089877030646,avoid
CI,2024-04-01,354.85424872943054,356.47838876207754,352.1538677283717,356.2142028808594,1036800,0.0876411787578925,0.2211080983223874,0.2652184318845927,0.4592522893276889,0.3162521828367201,avoid
