Date,Open,High,Low,Close,Volume
2023-05-12,105.86324880760444,106.42508867281038,103.87301937547964,104.63482666015624,3260400
2023-05-15,105.13955266130856,106.59651654041429,104.29203036492343,105.34904479980467,3937600
2023-05-16,105.34902866584612,106.26944160357168,102.08923558778166,102.3480987548828,4514600
2023-05-17,103.85337902445916,106.68173160985371,102.69327476030644,106.06812286376952,3730500
2023-05-18,105.4161453938256,106.710483216843,104.18892810262552,106.40367889404295,3359300
2023-05-19,107.1994534733756,107.51584750527546,105.3298656754082,105.76130676269533,2325300
2023-05-22,105.97224786871762,107.17070359384977,105.79966995170685,106.06812286376952,3000100
2023-05-23,106.3078031619329,106.9118294672368,104.90800789557852,105.38739013671876,3982000
2023-05-24,106.47079105189,106.80635713367803,104.67789896520542,105.98181915283205,3699100
2023-05-25,104.52449352391687,105.26274622129807,103.00006161197122,105.00387573242188,3897500
2023-05-26,105.6366604786084,105.75171483840214,103.24933920252444,104.32315063476562,3479200
2023-05-30,102.14675935198387,103.7574838255092,101.78243151581204,103.34521484375,4101900
2023-05-31,101.25511658019283,102.1563575255596,100.01830953222968,100.583984375,12831900
2023-06-01,101.10170030556095,102.84665117353155,100.49768138330674,101.50438690185548,4180000
2023-06-02,103.48903420415505,105.34903221152166,102.35769189193358,104.41903686523438,3627300
2023-06-05,105.32027762729254,105.32027762729254,103.16305752758326,104.20811462402344,2744700
2023-06-06,102.63573110520436,104.89841565585354,102.53984881415624,104.5340805053711,2949600
2023-06-07,104.6299527415372,109.45254365216356,104.44779248585829,109.41419219970705,4090900
2023-06-08,109.29914412756148,109.86481162554252,105.9338789575974,107.79388427734376,3811300
2023-06-09,108.09109746971644,108.85811192316814,106.63377878590856,108.34996795654295,2699000
2023-06-12,106.50914914678634,109.13616925079984,106.4708050022368,107.7363739013672,3063500
2023-06-13,109.05945561726888,110.83316837753635,107.68842216834582,107.86100006103516,3174900
2023-06-14,108.78140410079448,109.39501270992004,106.0776888809627,107.03645324707033,3152400
2023-06-15,107.1994459769057,109.76893487956151,107.1994459769057,109.13615417480467,3240400
2023-06-16,109.35667653785784,109.77853525862464,107.94729155238028,108.6184310913086,10770500
2023-06-20,108.25410074963648,108.4650227904245,106.12564243756788,106.3653335571289,3816300
2023-06-21,105.89552691305391,108.47460553506244,105.40656232712044,107.3816146850586,2943500
2023-06-22,105.75172707872352,107.27615911978047,104.3902759320198,106.8255386352539,2911800
2023-06-23,105.18603772789096,107.41037076466895,105.18603772789096,107.03645324707033,3535800
2023-06-26,106.9118223835962,109.00192910907542,106.68171365644456,108.37873077392578,2351900
2023-06-27,108.47461751771328,109.95111576050928,107.78430589097304,109.2799835205078,2341800
2023-06-28,109.19369368833613,110.5934890493821,108.23492914119836,110.35379791259766,2514800
2023-06-29,110.49760617410443,112.17544401188913,110.35379003933583,111.54265594482422,2324800
2023-06-30,111.9740987349032,112.62605884034568,110.7372917415729,111.79193115234376,2654500
2023-07-03,112.3288408008593,113.71904625724154,112.02202917015173,112.69316864013672,1537200
2023-07-05,112.8465792188836,113.03833650859998,110.89070606732516,111.41802215576172,2777100
2023-07-06,110.66059852313064,111.1208087086622,108.16781224804924,108.66636657714844,3083300
2023-07-07,108.6855353212643,114.18884104822048,108.53212950284431,113.15337371826172,4146500
2023-07-10,112.73152332904932,114.03544353780778,112.31925433194492,112.98079681396484,2582600
2023-07-11,113.62318591502115,115.32019590589869,113.08627280691891,115.06133270263672,2652600
2023-07-12,116.01049785870065,117.38153130780424,114.49564827987162,115.0133819580078,2395500
2023-07-13,114.99421600730034,116.14473047674664,113.91080744519924,114.97503662109376,2374400
2023-07-14,114.61069913004388,114.61069913004388,112.6931702986524,113.5272979736328,2007400
2023-07-17,113.17256480196944,114.4477233689326,112.44390171873438,113.25885009765624,2116300
2023-07-18,113.0671022169712,116.57617662105665,112.7794699297608,114.5052490234375,2314100
2023-07-19,114.53401754073649,117.17062017468012,114.53401754073649,117.07474517822266,2883200
2023-07-20,117.92803212094834,119.17442888229004,117.04597054681342,119.1264877319336,3143100
2023-07-21,119.84555781807076,120.9577281057228,118.84844189924934,120.63174438476562,2587400
2023-07-24,121.2836924617731,124.57224721936667,121.01523960929948,123.09575653076172,3079600
2023-07-25,122.53008960120084,124.74483295858884,121.8973016049233,123.3066864013672,2994700
2023-07-26,122.47257704412226,125.68443670500186,122.44381527905172,124.97496032714844,2863700
2023-07-27,125.2913187178508,125.93370370885538,122.7889577991228,124.23668670654295,3027200
2023-07-28,124.72567299505234,126.49939321029946,124.33257603043867,126.39392852783205,2556500
2023-07-31,126.58566143065453,128.37854616116925,126.47061438514922,127.53484344482422,4066100
2023-08-01,126.35555472772602,129.43319491038994,125.79948424584848,129.37567138671875,3491300
2023-08-02,129.54824540141365,131.75340652145886,128.13886051566922,130.26731872558594,4477300
2023-08-03,129.86462214496152,131.72462723680215,128.13884347059485,130.60287475585938,3716500
2023-08-04,131.6191653026386,134.08319663890893,131.14936551696374,132.26153564453125,3480100
2023-08-07,133.40249743335383,135.8569323136022,133.05734161396978,134.22703552246094,4106300
2023-08-08,132.84638661697454,136.73896755545815,131.89721926896564,135.93360900878906,4232200
2023-08-09,137.1033103150365,140.51650926606206,136.4513575399345,138.11001586914062,4779300
2023-08-10,139.0304208965857,141.43692891250686,138.3209446008696,139.28929138183594,4137200
2023-08-11,139.71114713548434,143.5845488078491,139.70156475829927,143.57496643066406,4394600
2023-08-14,142.85590931919234,143.52704153772788,141.4465243454751,142.4148712158203,3440300
2023-08-15,139.38905936942783,140.99833424428743,136.56563081588962,137.43289184570312,5569500
2023-08-16,137.41363083688154,139.88052105008782,135.9681859740973,136.25726318359375,3623300
2023-08-17,138.1363547647495,139.91906129253402,137.09563268781133,137.30763244628906,3351400
2023-08-18,136.3536325773786,139.45652207099317,135.98744850551552,139.3601531982422,3154100
2023-08-21,139.82269285322684,140.16960017680233,136.1416198806298,137.65452575683594,3495100
2023-08-22,138.03999219821674,139.04216089004203,137.34617744855834,137.7509002685547,2330400
2023-08-23,136.6909323185097,138.21345490096283,134.59984211182874,138.04000854492188,3645600
2023-08-24,137.65455106125185,139.4854421754612,136.87399841185336,138.3772735595703,2888200
2023-08-25,139.01326922398772,140.381622165023,137.11491680132622,138.7434539794922,4481100
2023-08-28,138.97472502561342,139.98653950459672,137.0378339458315,137.8280029296875,2520300
2023-08-29,137.6834500495897,138.24235717728882,136.50782035060638,138.05926513671875,2673600
