Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m
2024-02-16,150.4425682055004,151.0766061781153,149.54912774141914,150.39453125,8540700,-0.021533254099704968,0.06856065279380807,-0.07961462851798273,0.019798222600773796
2024-02-20,150.40414276368077,152.37354079939016,150.28886578988252,151.6530303955078,9501700,-0.016213658120558305,0.06817019861578011,-0.06373463949894942,0.035675115441956784
2024-02-21,151.8067426256637,152.4503968266684,150.95173753372356,152.44078063964844,7473300,-0.015911809165856106,0.0759406980891808,-0.029965323720204662,0.01976507253545723
2024-02-22,152.72897289094394,154.41977985412072,151.56655776258015,154.14117431640625,8065000,0.011627745117135158,0.07843539372173947,-0.011287329501855736,0.046737753428700124
2024-02-23,154.55428689130923,155.87041451410315,153.86259574356404,155.47653198242188,6726000,0.025847881928692473,0.07906834195163848,0.006309464176512458,0.05727794232931305
2024-02-26,155.43813130583476,155.63986603236066,154.25649821685593,154.46783447265625,5465400,0.015360185322819353,0.0741999000843383,-0.0036103755111401847,0.05075164127980902
2024-02-27,154.03552510490903,154.7079985984664,153.36305161135164,154.65036010742188,5078600,0.016942271736571923,0.06362157898045329,-0.016533990687355282,0.06386418534425387
2024-02-28,154.66955980732084,155.25557549604923,153.98747020549425,155.19793701171875,6071100,0.021439371541324137,0.07599539644319275,-0.0012773882638762446,0.06996331362714558
2024-02-29,155.63023940545753,155.81277104399874,154.6119204313023,155.0346221923828,9849100,0.02415635749933398,0.07238203437605173,-0.002449706930576445,0.08536578721942356
2024-03-01,155.46693825964184,156.1778471579661,154.75602936131753,155.7455291748047,5668000,0.02801087016951853,0.07389995089721735,0.005674354648200097,0.09527371597785006
2024-03-04,154.97699355133665,155.25558446129494,152.046914938497,153.55517578125,8532900,0.017009357071587905,0.04133977532233657,0.004102862105518579,0.08072043217682956
2024-03-05,154.30452078535433,154.90015275432066,152.94035602607065,153.68008422851562,8298200,0.02921038209401372,0.017708177130678404,0.012433998539991276,0.07057388651186214
2024-03-06,153.19012073087868,154.60230759590485,152.95955213106762,153.0748291015625,5773700,0.03048652086743231,0.01050991914036592,0.007191361210182379,0.055801248302278283
2024-03-07,153.7088799297406,154.05472549593537,152.01808752768906,152.62330627441406,5188700,0.012756146332390195,0.009626268578616592,0.021189460707367047,0.06272940995973508
2024-03-08,152.62330583977888,154.0835442994229,152.20060407576446,153.2477569580078,5283200,0.017414658740825262,0.02624939469316434,0.012424605541556222,0.07496047532151962
2024-03-11,153.2189434431626,154.9769905771272,152.63292773184108,154.89051818847656,4620800,0.03870940146714097,0.045393639032733635,0.01989973521141586,0.0988397827673766
2024-03-12,155.2267630638435,156.69660311403862,154.79445975357817,156.34115600585938,8018700,0.046029711974589826,0.06188088746355547,0.01616112869347397,0.10642422027724607
2024-03-13,156.13939099520735,156.28348719791435,153.526339021439,154.765625,6260000,0.028338123015669847,0.046841111286111126,0.0002631150215008926,0.08489857153752123
